Column,Explanation,Format,Units,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,Date the caterpillar molted to 4th instar,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,Date the caterpillar molted to 4th instar
,,,,,,,
,,,,,,e:,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,:,
